CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
1,Cung cấp cọc ly tâm ứng suất trước D300 loại A, md ,"  2,265 ","  220,000 ","  498,300,000 ","  2,265 ","  250,000 ","  566,250,000 ", Xong ,,,7+9,928525000,,,,,,,
,Đơn giá ép cọc D300A bằng máy tải, md ,,,,"  2,265 ","  120,000 ","  271,800,000 ",,,,7+9,,,,,,,,
,Đơn giá cọc chờ thí nghiệm, cọc ,,,,  2 ,"  5,000,000 ","  10,000,000 ",,,,7+9,,,,,,,,
,Mũi cọc sử dụng, cái ,,,,  73 ,"  75,000 ","  5,475,000 ",,,,7+9,,,,,,,,
,Hỗ trợ di chuyển máy, máy ,,,,  1 ,"  15,000,000 ","  15,000,000 ",,,,7+9,,,51,,21.5,,,
,Vận tải huy động và giải thể, gói ,,,,  1 ,"  60,000,000 ","  60,000,000 ",,,,7+9,,,,,,,,
,Thuê cọc ép âm, cái ,  1 ,"  1,000,000 ","  1,000,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,Băng cản nước mạch ngừng (sika waterbar V-25), m ,  54 ,"  120,000 ","  6,451,200 ",,,,,,"  79,471,855 ",,,,,26100,,,,
3,Dung dịch chống thấm,kg,"2,129","38,000","  80,888,062 ",,,,,,,,,,,,,,,
4,Chống thấm cổ ống băng thanh Trương nở,cổ,32,"345,000","  11,040,000 ",,,,,,,,,,,,,,,
5,Vữa rót tự chảy không co ngót gốc XM,kg,,,,  425 ,"  9,259.259 ","  3,935,185 ",,,,353+374,,,,,,,,
6,Hợp chất chống thấm gốc XM,kg,,,,  560 ,"  19,841.269 ","  11,111,111 ",,,,353+374,,,,,,,,
7,Phụ gia BT và chống thấm sika,lít,,,,  5 ,"  61,111.111 ","  305,556 ",,,,353,,,,,,,,
8,Conmik Waterstop,lít,,,,  59 ,"  55,555.555 ","  3,277,778 ",,,,353,,,,,,,,
9,"Vải ko dệt định lượng 70kg, kích thước 20cm*100, dạng cuộn (198kg)",cuộn,,,,  2 ,"  138,888.88 ","  277,778 ",,,,374,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,120,,,,
5,"Cát mịn ML=0,7-1,4", m3 ,  38.51 ,"  370,000 ","  14,248,848 ",  130 ,"  415,000 ","  53,950,000 ",  156 ,"  415,000 ","  64,598,029 ",  232 ,,,,118.4,,,,
6,"Cát mịn ML=1,5-2,0", m3 ,  247.148 ,"  370,000 ","  91,444,575 ",,,,,,  -   ,,Hỏi lại xem lấy hđơn cát vàng đc ko vì cát mịn giá rẻ 310k/m3,,,,,,,
7,Cát vàng, m3 ,  35.199 ,"  560,000 ","  19,711,664 ",,,,  35 ,"  560,000 ","  19,711,664 ",,,,,,,,,
8,Cát , m3 ,  113.533 ,"  200,000 ","  22,706,640 ",  115 ,"  200,000 ","  23,000,000 ",  (1.5),,  -   ,  232 ,,,"  3,750,000.00 ",,104,,,
9,Đá 1x2,m3,  24.431 ,"  360,000 ","  8,795,232 ",  8 ,"  270,000 ","  2,160,000 ",  16 ,,  -   ,  233 ,Đá giá 700k/m3 thực tế,,,118.4,1404,,,
,Cước vc đá 1x2,m3,,,,  8 ,"  150,000 ","  1,200,000 ",,,,  234 ,,,,"  1,598 ",,,,
10,Đá 4x6,m3,  31.599 ,"310,000","  9,795,566 ",  20 ,"  150,000 ","  3,000,000 ",  12 ,,  -   ,  233 ,,,,,,360,,
,Cước vc đá ,m3,,,,  20 ,"  150,000 ","  3,000,000 ",,,,  233 ,,,81.4816,,,,,
,,,,,,,,,,,,,,,,,,,,
